item                                          mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                     -40905.2 0.148394 6.741299 -40904.8 -40918.8 -40892.6 11776.16 2063.744 NaN     
likelihood                                    -40940.9 0.030396 3.250551 -40940.6 -40947.3 -40934.8 2125.127 11436.02 NaN     
prior                                         35.72498 0.146036 6.316662 36.02515 23.42085 48.02324 12989.78 1870.932 35.11694
treeLikelihood                                -40940.9 0.030396 3.250551 -40940.6 -40947.3 -40934.8 2125.127 11436.02 NaN     
TreeHeight                                    0.247096 0.000295 0.025052 0.244037 0.203696 0.296939 3375.006 7200.875 0.245877
gammaShape                                    0.39055  0.015162 0.430364 0.246717 0.001142 1.177626 30164.38 805.6851 0.215198
kappa                                         5.34213  0.030966 1.629199 5.077361 2.567076 8.471779 8779.791 2768.061 5.118023
originBDMMPrime                               0.302097 0.000398 0.045143 0.295878 0.224412 0.392004 1888.346 12869.99 0.298899
typeMappedTree.count_France_to_Germany        0.274411 0.010924 0.618368 0        0        2        7584.539 3204.281 NaN     
typeMappedTree.count_France_to_Hubei          0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_France_to_Italy          0.174958 0.006706 0.477105 0        0        1        4800.971 5062.100 NaN     
typeMappedTree.count_France_to_OtherEuropean  0.197918 0.008773 0.510516 0        0        1        7176.315 3386.556 NaN     
typeMappedTree.count_Germany_to_France        0.271818 0.008551 0.588201 0        0        1        5136.636 4731.306 NaN     
typeMappedTree.count_Germany_to_Hubei         0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_Germany_to_Italy         0.203967 0.006803 0.516762 0        0        1        4212.429 5769.355 NaN     
typeMappedTree.count_Germany_to_OtherEuropean 0.237707 0.00845  0.54963  0        0        1        5744.069 4230.972 NaN     
typeMappedTree.count_Hubei_to_France          1.844011 0.015432 1.013785 2        0        4        5631.112 4315.843 NaN     
typeMappedTree.count_Hubei_to_Germany         2.154055 0.020917 1.238787 2        0        4        6928.740 3507.563 NaN     
typeMappedTree.count_Hubei_to_Italy           1.408304 0.016383 1.075426 1        0        3        5640.410 4308.728 NaN     
typeMappedTree.count_Hubei_to_OtherEuropean   0.95482  0.016473 1.011158 1        0        3        6450.002 3767.905 NaN     
