item                                          mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                     -44172.5 1.552635 20.85723 -44172.0 -44214.3 -44133.0 130141.4 180.4574 NaN     
likelihood                                    -44359.1 0.451722 9.791101 -44359.0 -44378.7 -44340.4 49988.49 469.8080 NaN     
prior                                         186.5266 1.408418 18.69653 186.6772 150.7705 222.6712 133269.6 176.2217 185.5776
treeLikelihood                                -44359.1 0.451722 9.791101 -44359.0 -44378.7 -44340.4 49988.49 469.8080 NaN     
TreeHeight                                    0.298582 0.002369 0.029106 0.293793 0.249978 0.356412 155532.9 150.9969 0.297255
gammaShape                                    0.074393 0.001827 0.058789 0.061896 0.001025 0.188164 22671.07 1035.901 0.050449
kappa                                         4.923105 0.01     0.591546 4.872335 3.795535 6.102077 6712.078 3498.916 4.888101
originBDMMPrime                               0.340284 0.00208  0.04322  0.333653 0.268371 0.427206 54374.98 431.9081 0.337689
typeMappedTree.count_France_to_Germany        0.240877 0.008452 0.527238 0        0        1        6034.795 3891.598 NaN     
typeMappedTree.count_France_to_Hubei          0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_France_to_Italy          0.262721 0.010222 0.578333 0        0        1        7336.622 3201.064 NaN     
typeMappedTree.count_France_to_OtherEuropean  2.363253 0.042063 1.112571 2        0        4        33568.69 699.6101 NaN     
typeMappedTree.count_Germany_to_France        0.408686 0.027304 0.723092 0        0        2        33486.01 701.3376 NaN     
typeMappedTree.count_Germany_to_Hubei         0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_Germany_to_Italy         0.685842 0.024163 0.743094 1        0        2        24830.82 945.8000 NaN     
typeMappedTree.count_Germany_to_OtherEuropean 1.279327 0.032802 1.017907 1        0        3        24387.54 962.9915 NaN     
typeMappedTree.count_Hubei_to_France          4.117139 0.05887  1.257835 4        2        6        51444.32 456.5129 NaN     
typeMappedTree.count_Hubei_to_Germany         3.711731 0.01859  1.004788 4        1        5        8039.038 2921.369 NaN     
typeMappedTree.count_Hubei_to_Italy           1.842367 0.033698 1.198616 2        0        4        18562.11 1265.211 NaN     
typeMappedTree.count_Hubei_to_OtherEuropean   12.07281 0.140768 2.644934 12       7        17       66522.71 353.0373 11.77558
typeMappedTree.count_Italy_to_France          6.04224  0.081877 1.633299 6        3        9        59018.11 397.9287 NaN     
typeMappedTree.count_Italy_to_Germany         4.714073 0.23303  2.278118 4        1        9        245731.6 95.57174 NaN     
typeMappedTree.count_Italy_to_Hubei           0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_Italy_to_OtherEuropean   19.57875 0.224782 3.709149 19       12       26       86251.11 272.2863 19.22318
typeMappedTree.count_OtherEuropean_to_France  3.202597 0.043756 1.432433 3        1        6        21913.50 1071.713 NaN     
typeMappedTree.count_OtherEuropean_to_Germany 3.235768 0.050177 1.375189 3        1        6        31265.61 751.1446 NaN     
typeMappedTree.count_OtherEuropean_to_Hubei   0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_OtherEuropean_to_Italy   0.456802 0.013384 0.793507 0        0        2        6681.710 3514.818 NaN     
R0SVEpi.France                                2.905908 0.014299 0.234821 2.897873 2.461868 3.373031 87078.79 269.6982 2.896458
R0SVEpi.Germany                               2.66683  0.022675 0.348837 2.647367 1.981358 3.346568 99231.64 236.6684 2.644102
R0SVEpi.Hubei                                 1.506715 0.004341 0.103529 1.503981 1.305048 1.708919 41284.95 568.8513 1.503157
R0SVEpi.Italy                                 2.748957 0.010602 0.127332 2.744611 2.507214 3.005216 162816.8 144.2417 2.746014
R0SVEpi.OtherEuropean                         2.739282 0.008237 0.211098 2.734596 2.326929 3.140828 35754.26 656.8446 2.731141
R0AmongDemesSMEpi                             0        0        0        0        0        0        NaN      NaN      NaN     
becomeUninfectiousRateSVEpi                   36.5     0        0        36.5     36.5     36.5     NaN      NaN      36.5    
migrationRateSMEpi.France_to_Germany          0.480095 0.011525 0.391625 0.37328  0.033162 1.234352 20340.32 1154.602 0.365822
migrationRateSMEpi.France_to_Hubei            0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.France_to_Italy            1.167582 0.035679 1.188019 0.806943 0.032653 3.316522 21182.52 1108.696 0.783739
migrationRateSMEpi.France_to_OtherEuropean    1.39933  0.036668 1.004334 1.157695 0.112882 3.422093 31304.75 750.2055 1.101951
migrationRateSMEpi.Germany_to_France          0.895392 0.023972 0.786754 0.65686  0.035077 2.407558 21803.41 1077.124 0.644868
migrationRateSMEpi.Germany_to_Hubei           0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.Germany_to_Italy           1.989158 0.078995 2.284749 1.290929 0.035965 5.803077 28074.89 836.5124 1.260483
migrationRateSMEpi.Germany_to_OtherEuropean   1.588895 0.045956 1.418821 1.208096 0.055318 4.271351 24638.32 953.1896 1.132668
migrationRateSMEpi.Hubei_to_France            0.281703 0.003369 0.142502 0.252207 0.05873  0.558752 13124.85 1789.353 0.24919 
migrationRateSMEpi.Hubei_to_Germany           0.265733 0.003722 0.142274 0.236727 0.056491 0.55983  16073.02 1461.143 0.232328
migrationRateSMEpi.Hubei_to_Italy             0.304481 0.005511 0.186395 0.262352 0.033698 0.670965 20528.24 1144.033 0.254005
migrationRateSMEpi.Hubei_to_OtherEuropean     0.733002 0.009694 0.294026 0.690406 0.211296 1.291925 25526.04 920.0406 0.677491
migrationRateSMEpi.Italy_to_France            0.235073 0.004284 0.105295 0.217275 0.07035  0.453603 38877.32 604.0795 0.213225
migrationRateSMEpi.Italy_to_Germany           0.18762  0.009399 0.109934 0.163484 0.032242 0.395621 171680.8 136.7945 0.160684
migrationRateSMEpi.Italy_to_Hubei             0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.Italy_to_OtherEuropean     0.882439 0.018446 0.321298 0.83344  0.344449 1.516278 77403.11 303.4115 0.828063
migrationRateSMEpi.OtherEuropean_to_France    0.853638 0.016387 0.512088 0.741941 0.120449 1.875454 24047.99 976.5885 0.71355 
migrationRateSMEpi.OtherEuropean_to_Germany   0.799723 0.015913 0.483922 0.69825  0.100506 1.743716 25395.17 924.7819 0.669164
migrationRateSMEpi.OtherEuropean_to_Hubei     0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.OtherEuropean_to_Italy     1.043886 0.025415 0.98071  0.759965 0.053816 2.859278 15771.60 1489.068 0.732964
samplingProportionSVEpi.i0_endtime            0.135284 0.00208  0.04322  0.128653 0.063371 0.222206 54374.98 431.9081 0.12885 
samplingProportionSVEpi.i0_France             0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Germany            0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Hubei              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Italy              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_OtherEuropean      0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i1_endtime            0.220284 0.00208  0.04322  0.213653 0.148371 0.307206 54374.98 431.9081 0.216333
samplingProportionSVEpi.i1_France             0.068423 0.000615 0.015754 0.070079 0.040278 0.092983 35840.78 655.2591 0.066344
samplingProportionSVEpi.i1_Germany            0.091552 7.87E-5  0.007651 0.093759 0.076004 0.1      2483.189 9457.596 0.091199
samplingProportionSVEpi.i1_Hubei              0.124514 0.000491 0.018808 0.128373 0.088865 0.149996 15988.40 1468.877 0.122917
samplingProportionSVEpi.i1_Italy              0.004645 3.45E-6  0.000324 0.004738 0.00399  0.005    2658.939 8832.467 0.004633
samplingProportionSVEpi.i1_OtherEuropean      0.043827 0.00032  0.009299 0.045423 0.026227 0.056999 27880.08 842.3575 0.042673
samplingProportionSVEpi.i2_France             0.068423 0.000615 0.015754 0.070079 0.040278 0.092983 35840.78 655.2591 0.066344
samplingProportionSVEpi.i2_Germany            0.091552 7.87E-5  0.007651 0.093759 0.076004 0.1      2483.189 9457.596 0.091199
samplingProportionSVEpi.i2_Hubei              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i2_Italy              0.004645 3.45E-6  0.000324 0.004738 0.00399  0.005    2658.939 8832.467 0.004633
samplingProportionSVEpi.i2_OtherEuropean      0.043827 0.00032  0.009299 0.045423 0.026227 0.056999 27880.08 842.3575 0.042673
removalProbSVEpi                              1        0        0        1        1        1        NaN      NaN      1       
