burnIn   <= 4500500,   maxState  = 45005000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
posterior	-43987.4071	19.987	-43987.0092	-44026.2612	-43948.3784	359.0385	-43999.0161	-43972.0349	
likelihood	-44286.969	10.8016	-44286.5856	-44308.5091	-44266.0756	345.7695	-44292.6162	-44278.2333	
prior	299.5618	17.6863	299.8551	264.4329	333.7722	327.8741	287.8209	311.4168	
treeLikelihood	-44286.969	10.8016	-44286.5856	-44308.5091	-44266.0756	345.7695	-44292.6162	-44278.2333	
TreeHeight	0.2795	0.0238	0.2769	0.2366	0.327	2765.993	0.2592	0.2889	
gammaShape	0.0722	0.0617	0.0588	1.0344E-3	0.1854	2026.9816	1.0592E-3	0.0589	
kappa	6.5068	0.8477	6.4499	4.837	8.1113	7124.2955	5.7812	6.8752	
originBDMMPrime	0.3242	0.0408	0.3183	0.2547	0.4067	10141.5682	0.2852	0.3352	
R0SVFrance	3.9235	0.3641	3.9089	3.2284	4.6452	600.6063	3.6713	4.1641	
R0SVGermany	3.1829	0.331	3.169	2.5449	3.846	1055.7839	2.9346	3.375	
R0SVHubei-China	1.5747	0.0733	1.5742	1.4352	1.722	1604.0468	1.5322	1.6313	
R0SVItaly	3.5963	0.2154	3.5827	3.2066	4.0418	332.0198	3.4168	3.7036	
R0SVOtherEuropean	3.4935	0.3838	3.5072	2.7505	4.2638	731.6929	3.2596	3.7348	
R0SVSpain	4.2312	0.3542	4.217	3.5301	4.9234	933.5781	3.9616	4.4343	
R0AmongDemesSM	0	0	0	0	0	1000	0	0	
becomeUninfectiousRateSV	36.5	0	0	0	0	1000	0	0	
migrationRateSMFrance_to_Germany	0.9811	2.4831E-3	0.9811	0.9761	0.9859	864.5978	0.9796	0.9829	
migrationRateSMFrance_to_Hubei-China	0.2532	0.0465	0.2499	0.1681	0.3476	840.6281	0.2152	0.2758	
migrationRateSMFrance_to_Italy	1.1319	0.0186	1.1314	1.0966	1.1692	867.2194	1.1181	1.1426	
migrationRateSMFrance_to_OtherEuropean	3.6764	0.6377	3.6103	2.5111	4.9503	900.5533	3.1223	3.9291	
migrationRateSMFrance_to_Spain	1.3896	0.0605	1.387	1.2758	1.5123	871.6932	1.3441	1.4239	
migrationRateSMGermany_to_France	0.9429	7.3419E-3	0.943	0.9283	0.9571	863.9234	0.9386	0.9483	
migrationRateSMGermany_to_Hubei-China	0.2598	0.0468	0.2566	0.175	0.3557	840.6235	0.2216	0.2827	
migrationRateSMGermany_to_Italy	1.2407	0.0354	1.2395	1.1733	1.3118	869.2875	1.2142	1.261	
migrationRateSMGermany_to_OtherEuropean	5.6359	1.3062	5.4675	3.3205	8.2397	918.1495	4.4428	6.0446	
