item                                           mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                      -43985.5 1.247871 21.75651 -43985.1 -44028.2 -43942.5 133250.8 303.9756 NaN     
likelihood                                     -44282.5 0.894111 11.31708 -44282.0 -44304.9 -44260.6 252826.3 160.2087 NaN     
prior                                          296.9941 1.060871 19.54530 296.9930 258.5669 335.5332 119329.8 339.4373 296.3478
treeLikelihood                                 -44282.5 0.894111 11.31708 -44282.0 -44304.9 -44260.6 252826.3 160.2087 NaN     
TreeHeight                                     0.275304 0.000502 0.02356  0.272541 0.233445 0.322462 18362.25 2205.883 0.274327
gammaShape                                     0.072674 0.001368 0.062188 0.059335 0.00105  0.183605 19601.37 2066.436 0.049184
kappa                                          6.48131  0.010504 0.844224 6.416144 4.910783 8.156617 6269.919 6460.210 6.427387
originBDMMPrime                                0.31881  0.000425 0.039624 0.313234 0.249419 0.397521 4669.560 8674.262 0.316463
R0SVFrance                                     3.609345 0.012445 0.341758 3.591961 2.977118 4.312301 53707.01 754.1845 3.593229
R0SVGermany                                    3.443303 0.00937  0.305297 3.431123 2.855429 4.043636 38154.62 1061.601 3.429805
R0SVHubei-China                                1.502518 0.001738 0.075849 1.501143 1.351872 1.648771 21271.56 1904.185 1.500604
R0SVItaly                                      3.44974  0.00956  0.188083 3.443441 3.089226 3.825541 104637.4 387.0985 3.444634
R0SVOtherEuropean                              3.025262 0.020266 0.411923 3.011469 2.22719  3.828107 98043.91 413.1311 2.99703 
R0SVSpain                                      5.797541 0.061426 0.814264 5.732047 4.26076  7.357533 230507.2 175.7211 5.741318
R0AmongDemesSM                                 0        0        0        0        0        0        NaN      NaN      NaN     
becomeUninfectiousRateSV                       36.5     0        0        36.5     36.5     36.5     NaN      NaN      36.5    
migrationRateSM_i0_endtime                     0.19881  0.000425 0.039624 0.193234 0.129419 0.277521 4669.560 8674.262 0.19509 
migrationRateSMi0_France_to_Germany            0.825711 0.001589 0.022429 0.822794 0.786447 0.871694 203330.1 199.2080 0.82541 
migrationRateSMi0_France_to_Hubei-China        0.634632 0.002918 0.0415   0.628544 0.564445 0.721151 200257.9 202.2641 0.633311
migrationRateSMi0_France_to_Italy              0.928061 0.000694 0.00977  0.926864 0.9107   0.947936 204615.8 197.9563 0.92801 
migrationRateSMi0_France_to_OtherEuropean      3.215267 0.03663  0.501979 3.23567  2.20202  4.133646 215678.0 187.8031 3.174432
migrationRateSMi0_France_to_Spain              0.997433 2.56E-5  0.00036  0.997391 0.996787 0.998162 205352.3 197.2463 0.997433
migrationRateSMi0_Germany_to_France            0.758196 0.002113 0.0299   0.754145 0.706428 0.819836 202361.2 200.1618 0.757615
migrationRateSMi0_Germany_to_Hubei-China       0.621635 0.00299  0.042548 0.615338 0.549875 0.710451 200006.0 202.5188 0.620219
migrationRateSMi0_Germany_to_Italy             0.881945 0.001112 0.015663 0.879974 0.854292 0.913916 204060.9 198.4946 0.881806
migrationRateSMi0_Germany_to_OtherEuropean     6.22182  0.109577 1.487115 6.217371 3.266648 8.929128 219917.9 184.1822 6.035223
migrationRateSMi0_Germany_to_Spain             1.225707 0.002484 0.034708 1.229334 1.154335 1.287253 207471.5 195.2315 1.225211
migrationRateSMi0_Hubei-China_to_France        0.573848 0.003231 0.046087 0.566798 0.496949 0.670519 199028.1 203.5139 0.572058
migrationRateSMi0_Hubei-China_to_Germany       0.573789 0.003231 0.046091 0.566738 0.496885 0.670469 199026.8 203.5152 0.571999
migrationRateSMi0_Hubei-China_to_Italy         0.57231  0.003238 0.046192 0.565236 0.495263 0.669218 198994.7 203.5480 0.570508
migrationRateSMi0_Hubei-China_to_OtherEuropean 0.578014 0.003211 0.045798 0.571029 0.501522 0.674039 199117.9 203.4221 0.576259
migrationRateSMi0_Hubei-China_to_Spain         0.571541 0.003241 0.046245 0.564455 0.494421 0.668567 198978.0 203.5651 0.569732
migrationRateSMi0_Italy_to_France              0.994969 5.02E-5  0.000705 0.994886 0.993705 0.996397 205326.1 197.2715 0.994969
migrationRateSMi0_Italy_to_Germany             1.044682 0.000456 0.006402 1.045418 1.031389 1.055852 205841.2 196.7778 1.044662
migrationRateSMi0_Italy_to_Hubei-China         0.608952 0.003057 0.043536 0.602452 0.535727 0.699944 199753.5 202.7748 0.607441
migrationRateSMi0_Italy_to_OtherEuropean       5.605601 0.09327  1.267479 5.610482 3.05637  7.895262 219336.5 184.6705 5.455223
migrationRateSMi0_Italy_to_Spain               1.254045 0.002825 0.039457 1.258109 1.172823 1.32397  207697.5 195.0191 1.253418
migrationRateSMi0_OtherEuropean_to_France      0.701821 0.002507 0.035545 0.696831 0.640898 0.775461 201461.4 201.0557 0.700938
migrationRateSMi0_OtherEuropean_to_Germany     0.800143 0.001794 0.025345 0.796796 0.755953 0.852211 202975.8 199.5557 0.799746
migrationRateSMi0_OtherEuropean_to_Hubei-China 0.588727 0.00316  0.045039 0.581909 0.513317 0.683055 199345.2 203.1902 0.587059
migrationRateSMi0_OtherEuropean_to_Italy       0.720375 0.002382 0.03375  0.715693 0.662332 0.79018  201767.7 200.7506 0.719599
migrationRateSMi0_OtherEuropean_to_Spain       0.831387 0.001543 0.021768 0.828565 0.793246 0.875994 203406.8 199.1329 0.831105
migrationRateSMi0_Spain_to_France              1.356379 0.004108 0.057259 1.361983 1.239233 1.458772 208460.2 194.3056 1.355153
migrationRateSMi0_Spain_to_Germany             2.25902  0.018085 0.249452 2.275016 1.764984 2.725368 212896.9 190.2563 2.24479 
migrationRateSMi0_Spain_to_Hubei-China         0.590856 0.003149 0.044885 0.584071 0.515667 0.684841 199381.3 203.1533 0.589204
migrationRateSMi0_Spain_to_Italy               1.561793 0.006896 0.095825 1.570282 1.366016 1.733964 209780.0 193.0832 1.558794
migrationRateSMi0_Spain_to_OtherEuropean       70.16814 2.765951 37.11847 64.6533  10.63007 139.5617 224914.5 180.0906 60.41279
migrationRateSM_i1_endtime                     0.29881  0.000425 0.039624 0.293234 0.229419 0.377521 4669.560 8674.262 0.296311
migrationRateSMi1_France_to_Germany            0.855698 0.001339 0.01888  0.853286 0.822495 0.894314 203727.7 198.8192 0.855492
migrationRateSMi1_France_to_Hubei-China        0.585903 0.003173 0.045242 0.579041 0.510203 0.680683 199285.8 203.2507 0.584212
migrationRateSMi1_France_to_Italy              0.935209 0.000628 0.00883  0.934131 0.919503 0.953162 204698.6 197.8762 0.935167
migrationRateSMi1_France_to_OtherEuropean      3.985526 0.053533 0.731036 4.004812 2.54146  5.348962 217205.7 186.4821 3.915407
migrationRateSMi1_France_to_Spain              1.058756 0.000604 0.008469 1.059722 1.041188 1.073557 205981.1 196.6442 1.058723
migrationRateSMi1_Germany_to_France            0.779747 0.001952 0.027596 0.776057 0.731793 0.836535 202682.4 199.8446 0.779265
migrationRateSMi1_Germany_to_Hubei-China       0.585182 0.003177 0.045293 0.578308 0.509408 0.680077 199270.6 203.2662 0.583485
migrationRateSMi1_Germany_to_Italy             0.886082 0.001075 0.015147 0.884181 0.859325 0.916989 204112.2 198.4446 0.885953
migrationRateSMi1_Germany_to_OtherEuropean     7.215413 0.137008 1.856139 7.191906 3.576127 10.61673 220687.9 183.5397 6.964686
migrationRateSMi1_Germany_to_Spain             1.403959 0.004729 0.065868 1.410256 1.269565 1.522213 208789.2 193.9994 1.402389
migrationRateSMi1_Hubei-China_to_France        0.571882 0.00324  0.046221 0.564801 0.494794 0.668855 198985.4 203.5576 0.570076
migrationRateSMi1_Hubei-China_to_Germany       0.571709 0.00324  0.046233 0.564626 0.494605 0.668709 198981.6 203.5614 0.569902
migrationRateSMi1_Hubei-China_to_Italy         0.570934 0.003244 0.046286 0.563839 0.493756 0.668053 198964.8 203.5787 0.569121
