item                                          mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                     -42348.1 0.633027 12.04898 -42347.8 -42371.2 -42324.2 24844.70 362.2904 NaN     
likelihood                                    -42508.5 0.349424 6.837626 -42508.2 -42522.0 -42495.5 23506.42 382.9166 NaN     
prior                                         160.3591 0.518736 10.84230 160.4110 139.6663 182.2692 20603.51 436.8671 159.9893
treeLikelihood                                -42508.5 0.349424 6.837626 -42508.2 -42522.0 -42495.5 23506.42 382.9166 NaN     
TreeHeight                                    0.266358 0.000767 0.021531 0.263905 0.229575 0.310891 11410.33 788.8464 0.265511
gammaShape                                    0.26723  0.019947 0.328984 0.161476 0.001011 0.832409 33089.17 272.0224 0.13869 
kappa                                         4.681739 0.02019  0.766158 4.610936 3.313361 6.22246  6250.850 1439.964 4.621142
originBDMMPrime                               0.314322 0.000754 0.042083 0.308265 0.243081 0.396812 2885.842 3119.019 0.311661
typeMappedTree.count_France_to_Germany        0.167759 0.007087 0.432113 0        0        1        2420.818 3718.163 NaN     
typeMappedTree.count_France_to_Hubei          0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_France_to_Italy          0.676258 0.042572 1.067577 0        0        3        14313.16 628.8615 NaN     
typeMappedTree.count_France_to_OtherEuropean  2.230197 0.043397 1.122783 2        0        4        13447.03 669.3668 NaN     
typeMappedTree.count_Germany_to_France        0.485946 0.026474 0.845364 0        0        2        8827.694 1019.632 NaN     
typeMappedTree.count_Germany_to_Hubei         0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_Germany_to_Italy         0.871681 0.031611 1.046247 1        0        3        8216.740 1095.446 NaN     
typeMappedTree.count_Germany_to_OtherEuropean 1.251194 0.034336 1.17538  1        0        3        7681.209 1171.820 NaN     
typeMappedTree.count_Hubei_to_France          3.470837 0.064639 1.523019 3        1        6        16213.42 555.1572 NaN     
typeMappedTree.count_Hubei_to_Germany         3.848795 0.041211 1.423032 4        1        6        7549.125 1192.323 NaN     
typeMappedTree.count_Hubei_to_Italy           2.865015 0.055281 1.83526  3        0        6        8166.767 1102.149 NaN     
typeMappedTree.count_Hubei_to_OtherEuropean   4.003666 0.07783  2.344103 4        0        8        9922.686 907.1131 NaN     
typeMappedTree.count_Italy_to_France          5.8018   0.075273 2.090509 6        1        9        11669.89 771.3008 NaN     
typeMappedTree.count_Italy_to_Germany         1.523942 0.038614 1.187232 1        0        4        9521.782 945.3061 NaN     
typeMappedTree.count_Italy_to_Hubei           0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_Italy_to_OtherEuropean   18.82557 0.403592 6.990909 18       7        34       29999.05 300.0427 17.64603
typeMappedTree.count_OtherEuropean_to_France  2.546606 0.039704 1.576572 2        0        5        5708.760 1576.699 NaN     
typeMappedTree.count_OtherEuropean_to_Germany 1.524831 0.038619 1.184403 1        0        4        9569.598 940.5828 NaN     
typeMappedTree.count_OtherEuropean_to_Hubei   0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_OtherEuropean_to_Italy   1.006666 0.056204 1.555963 0        0        4        11744.11 766.4262 NaN     
R0SVEpi.France                                3.05048  0.011174 0.25392  3.038902 2.579113 3.571145 17431.19 516.3730 3.039983
R0SVEpi.Germany                               1.756563 0.006394 0.273086 1.740191 1.212327 2.27901  4934.448 1824.114 1.735344
R0SVEpi.Hubei                                 1.467033 0.003919 0.147217 1.461877 1.190498 1.771839 6377.183 1411.438 1.459651
R0SVEpi.Italy                                 2.454411 0.020026 0.253347 2.435636 1.993209 2.971263 56241.37 160.0423 2.44148 
R0SVEpi.OtherEuropean                         2.143083 0.020462 0.342174 2.177121 1.432415 2.796771 32188.93 279.6302 2.110917
R0AmongDemesSMEpi                             0        0        0        0        0        0        NaN      NaN      NaN     
becomeUninfectiousRateSVEpi                   36.5     0        0        36.5     36.5     36.5     NaN      NaN      36.5    
migrationRateSMEpi.France_to_Germany          0.672547 0.02661  0.560596 0.532135 0.02188  1.749159 20281.07 443.8126 0.500399
migrationRateSMEpi.France_to_Hubei            0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.France_to_Italy            1.71588  0.09617  1.927173 1.074572 0.033847 5.310879 22414.55 401.5695 1.075918
migrationRateSMEpi.France_to_OtherEuropean    1.682162 0.054256 1.237565 1.354747 0.086176 4.044437 17300.37 520.2777 1.297144
migrationRateSMEpi.Germany_to_France          0.978633 0.06197  1.052049 0.655606 0.041007 2.793363 31230.30 288.2136 0.658169
migrationRateSMEpi.Germany_to_Hubei           0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.Germany_to_Italy           1.93848  0.089639 2.128926 1.264909 0.037061 5.889025 15957.59 564.0573 1.236142
migrationRateSMEpi.Germany_to_OtherEuropean   1.754254 0.073118 1.73167  1.246058 0.048141 4.917107 16047.61 560.8933 1.182781
migrationRateSMEpi.Hubei_to_France            0.632871 0.023433 0.431259 0.525602 0.086077 1.423393 26575.11 338.7003 0.517853
migrationRateSMEpi.Hubei_to_Germany           1.034445 0.029917 0.730432 0.857126 0.101889 2.398731 15099.84 596.0989 0.836357
migrationRateSMEpi.Hubei_to_Italy             0.953922 0.030301 0.709803 0.781051 0.073402 2.307009 16402.81 548.7473 0.739028
migrationRateSMEpi.Hubei_to_OtherEuropean     0.957712 0.026526 0.661988 0.812196 0.080231 2.194471 14451.72 622.8321 0.770254
migrationRateSMEpi.Italy_to_France            0.770818 0.020523 0.421993 0.682832 0.086893 1.5769   21288.35 422.8132 0.665296
