item                                          mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                     -44172.8 1.098504 20.45212 -44172.6 -44213.3 -44133.4 116658.4 346.6358 NaN     
likelihood                                    -44359.3 0.326226 9.736414 -44359.2 -44378.5 -44340.4 45397.17 890.7601 NaN     
prior                                         186.4802 1.0238   18.37290 186.6062 150.4989 221.6360 125563.8 322.0513 185.5632
treeLikelihood                                -44359.3 0.326226 9.736414 -44359.2 -44378.5 -44340.4 45397.17 890.7601 NaN     
TreeHeight                                    0.297601 0.001747 0.028798 0.292852 0.248626 0.354083 148746.8 271.8578 0.296298
gammaShape                                    0.07461  0.001515 0.060696 0.061505 0.001006 0.190172 25192.81 1605.140 0.049997
kappa                                         4.930217 0.007643 0.60296  4.876647 3.804921 6.149141 6497.699 6223.433 4.89395 
originBDMMPrime                               0.33948  0.001528 0.043203 0.332858 0.268901 0.427469 50577.40 799.5270 0.336878
typeMappedTree.count_France_to_Germany        0.244547 0.006462 0.528917 0        0        1        6036.743 6698.644 NaN     
typeMappedTree.count_France_to_Hubei          0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_France_to_Italy          0.264899 0.008456 0.579809 0        0        1        8600.599 4701.765 NaN     
typeMappedTree.count_France_to_OtherEuropean  2.403284 0.031605 1.131552 2        0        4        31546.55 1281.851 NaN     
typeMappedTree.count_Germany_to_France        0.40185  0.02053  0.705828 0        0        2        34209.96 1182.053 NaN     
typeMappedTree.count_Germany_to_Hubei         0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_Germany_to_Italy         0.666428 0.017971 0.739157 1        0        2        23902.12 1691.816 NaN     
typeMappedTree.count_Germany_to_OtherEuropean 1.284411 0.024551 1.025878 1        0        3        23159.18 1746.089 NaN     
typeMappedTree.count_Hubei_to_France          4.097235 0.043448 1.267185 4        2        6        47539.18 850.6246 NaN     
typeMappedTree.count_Hubei_to_Germany         3.697636 0.013684 1.008961 4        1        5        7438.000 5436.675 NaN     
typeMappedTree.count_Hubei_to_Italy           1.86389  0.024468 1.202389 2        0        4        16744.94 2414.937 NaN     
typeMappedTree.count_Hubei_to_OtherEuropean   12.02193 0.113656 2.661285 12       7        17       73755.32 548.2722 11.71937
typeMappedTree.count_Italy_to_France          6.038083 0.058552 1.598547 6        3        9        54252.71 745.3636 NaN     
typeMappedTree.count_Italy_to_Germany         4.747342 0.157726 2.240077 4        1        9        200478.9 201.7069 NaN     
typeMappedTree.count_Italy_to_Hubei           0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_Italy_to_OtherEuropean   19.59998 0.164942 3.727597 19       12       26       79176.11 510.7348 19.24063
typeMappedTree.count_OtherEuropean_to_France  3.255552 0.033924 1.445185 3        1        6        22282.58 1814.780 NaN     
typeMappedTree.count_OtherEuropean_to_Germany 3.228102 0.039413 1.3786   3        1        6        33051.65 1223.478 NaN     
typeMappedTree.count_OtherEuropean_to_Hubei   0        0        0        0        0        0        NaN      NaN      NaN     
typeMappedTree.count_OtherEuropean_to_Italy   0.454375 0.010518 0.798004 0        0        2        7025.398 5755.972 NaN     
R0SVEpi.France                                2.91374  0.010505 0.234047 2.904288 2.460767 3.375793 81459.72 496.4171 2.904384
R0SVEpi.Germany                               2.663522 0.014387 0.342494 2.646115 2.009374 3.344027 71356.94 566.7002 2.641591
R0SVEpi.Hubei                                 1.506387 0.003399 0.103737 1.50421  1.304211 1.710338 43419.85 931.3251 1.502814
R0SVEpi.Italy                                 2.735682 0.007705 0.12566  2.732362 2.491913 2.984243 152034.1 265.9796 2.732803
R0SVEpi.OtherEuropean                         2.739389 0.006386 0.211818 2.733764 2.343085 3.160833 36758.88 1100.087 2.731201
R0AmongDemesSMEpi                             0        0        0        0        0        0        NaN      NaN      NaN     
becomeUninfectiousRateSVEpi                   36.5     0        0        36.5     36.5     36.5     NaN      NaN      36.5    
migrationRateSMEpi.France_to_Germany          0.489903 0.008028 0.400092 0.38178  0.03188  1.2781   16281.76 2483.637 0.372571
migrationRateSMEpi.France_to_Hubei            0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.France_to_Italy            1.19875  0.027996 1.241808 0.810525 0.038199 3.481876 20553.20 1967.479 0.799547
migrationRateSMEpi.France_to_OtherEuropean    1.437214 0.024551 1.009034 1.201879 0.084625 3.494213 23938.79 1689.224 1.137039
migrationRateSMEpi.Germany_to_France          0.864598 0.017547 0.765729 0.63739  0.028796 2.305066 21234.83 1904.324 0.622223
migrationRateSMEpi.Germany_to_Hubei           0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.Germany_to_Italy           1.932042 0.053747 2.15211  1.262055 0.035965 5.642132 25221.53 1603.312 1.232895
migrationRateSMEpi.Germany_to_OtherEuropean   1.613782 0.033924 1.436299 1.212887 0.051972 4.431911 22558.93 1792.549 1.146345
migrationRateSMEpi.Hubei_to_France            0.284919 0.002726 0.144149 0.256947 0.056155 0.565484 14464.93 2795.587 0.251743
migrationRateSMEpi.Hubei_to_Germany           0.271482 0.002988 0.143895 0.242427 0.057327 0.566199 17438.81 2318.849 0.237669
migrationRateSMEpi.Hubei_to_Italy             0.311102 0.00412  0.18928  0.269228 0.042142 0.689685 19161.04 2110.427 0.260141
migrationRateSMEpi.Hubei_to_OtherEuropean     0.745971 0.008219 0.302266 0.698753 0.23411  1.337061 29899.72 1352.454 0.688248
migrationRateSMEpi.Italy_to_France            0.228807 0.003238 0.100891 0.213429 0.062242 0.427324 41653.45 970.8199 0.208161
migrationRateSMEpi.Italy_to_Germany           0.184519 0.006059 0.104206 0.162771 0.036117 0.388888 136699.0 295.8176 0.159494
migrationRateSMEpi.Italy_to_Hubei             0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.Italy_to_OtherEuropean     0.865804 0.012807 0.310873 0.81753  0.359158 1.4892   68631.90 589.2012 0.813317
migrationRateSMEpi.OtherEuropean_to_France    0.861821 0.012532 0.521307 0.747987 0.098474 1.881029 23367.96 1730.488 0.720045
migrationRateSMEpi.OtherEuropean_to_Germany   0.808615 0.013478 0.497782 0.703211 0.089046 1.775479 29647.16 1363.975 0.673851
migrationRateSMEpi.OtherEuropean_to_Hubei     0        0        0        0        0        0        NaN      NaN      NaN     
migrationRateSMEpi.OtherEuropean_to_Italy     1.073742 0.021028 1.018798 0.768047 0.035411 3.00189  17227.67 2347.269 0.747902
samplingProportionSVEpi.i0_endtime            0.13448  0.001528 0.043203 0.127858 0.063901 0.222469 50577.40 799.5270 0.127996
samplingProportionSVEpi.i0_France             0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Germany            0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Hubei              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_Italy              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i0_OtherEuropean      0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i1_endtime            0.21948  0.001528 0.043203 0.212858 0.148901 0.307469 50577.40 799.5270 0.215511
samplingProportionSVEpi.i1_France             0.069134 0.000447 0.01552  0.070869 0.041074 0.093    33575.28 1204.397 0.067137
samplingProportionSVEpi.i1_Germany            0.091535 5.82E-5  0.007634 0.09372  0.076067 0.1      2351.576 17196.12 0.091184
samplingProportionSVEpi.i1_Hubei              0.125235 0.000359 0.018469 0.129035 0.089826 0.149996 15254.10 2650.958 0.123702
samplingProportionSVEpi.i1_Italy              0.00464  2.82E-6  0.00033  0.004735 0.003974 0.005    2943.962 13735.90 0.004627
samplingProportionSVEpi.i1_OtherEuropean      0.043959 0.000227 0.009225 0.045537 0.026498 0.056999 24387.95 1658.113 0.042829
samplingProportionSVEpi.i2_France             0.069134 0.000447 0.01552  0.070869 0.041074 0.093    33575.28 1204.397 0.067137
samplingProportionSVEpi.i2_Germany            0.091535 5.82E-5  0.007634 0.09372  0.076067 0.1      2351.576 17196.12 0.091184
samplingProportionSVEpi.i2_Hubei              0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVEpi.i2_Italy              0.00464  2.82E-6  0.00033  0.004735 0.003974 0.005    2943.962 13735.90 0.004627
samplingProportionSVEpi.i2_OtherEuropean      0.043959 0.000227 0.009225 0.045537 0.026498 0.056999 24387.95 1658.113 0.042829
removalProbSVEpi                              1        0        0        1        1        1        NaN      NaN      1       
