burnIn   <= 5700300,   maxState  = 57003000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
posterior	-44164.9748	21.1178	-44164.3144	-44208.2329	-44125.9718	405.5617	-44178.5385	-44149.9357	
likelihood	-44312.6755	9.8996	-44312.3126	-44332.1559	-44293.7553	755.0398	-44317.78	-44304.5251	
prior	147.7007	18.0621	147.8064	111.0585	181.7754	438.4558	136.1052	160.4953	
treeLikelihood	-44312.6755	9.8996	-44312.3126	-44332.1559	-44293.7553	755.0398	-44317.78	-44304.5251	
TreeHeight	0.2996	0.0224	0.2971	0.2602	0.3459	2395.2119	0.2789	0.3073	
gammaShape	0.0613	0.0467	0.0525	1.029E-3	0.1459	3010.5245	1.742E-3	0.0531	
kappa	5.1656	0.6327	5.1201	3.9813	6.4335	9787.6921	4.6792	5.5119	
originBDMMPrime	0.3432	0.041	0.337	0.2727	0.4258	9675.7167	0.3024	0.3516	
R0SVEpi.France	3.0911	0.2449	3.0834	2.6094	3.5656	942.1751	2.9193	3.2481	
R0SVEpi.Germany	2.6518	0.3214	2.655	2.0123	3.2757	331.2901	2.4523	2.881	
R0SVEpi.Hubei	1.4771	0.0901	1.4751	1.309	1.6624	1875.0345	1.4115	1.5324	
R0SVEpi.Italy	2.7328	0.1535	2.7261	2.4299	3.0316	434.3378	2.6175	2.8174	
R0SVEpi.OtherEuropean	3.077	0.2796	3.0709	2.5359	3.6319	658.4781	2.8779	3.2487	
R0SVEpi.Spain	3.02	0.2504	3.0101	2.5411	3.5257	719.8358	2.8319	3.1666	
R0AmongDemesSMEpi	0	0	0	0	0	1000	0	0	
becomeUninfectiousRateSVEpi	36.5	0	0	0	0	1000	0	0	
migrationRateSMEpi.France_to_Germany	0.8337	0.6347	0.6694	0.054	2.0353	2169.8168	0.2239	0.7755	
migrationRateSMEpi.France_to_Hubei	0	0	0	0	0	1000	0	0	
migrationRateSMEpi.France_to_Italy	0.9725	0.8853	0.7023	0.0475	2.743	2147.1413	0.1161	0.7449	
migrationRateSMEpi.France_to_OtherEuropean	2.6194	2.0039	2.0882	0.1427	6.4609	1585.9777	0.5469	2.288	
migrationRateSMEpi.France_to_Spain	0.8313	0.6326	0.6646	0.0484	2.0118	2340.0878	0.1981	0.7484	
migrationRateSMEpi.Germany_to_France	0.911	0.6965	0.7281	0.0669	2.2822	1643.1105	0.1986	0.8053	
migrationRateSMEpi.Germany_to_Hubei	0	0	0	0	0	1000	0	0	
migrationRateSMEpi.Germany_to_Italy	1.3165	1.2352	0.9463	0.0251	3.7167	1810.0708	0.1174	0.9824	
migrationRateSMEpi.Germany_to_OtherEuropean	1.5339	1.4011	1.1476	0.0406	4.1895	1825.6892	0.2127	1.2238	
migrationRateSMEpi.Germany_to_Spain	0.6625	0.5372	0.5109	0.025	1.6909	2102.9556	0.1296	0.563	
migrationRateSMEpi.Hubei_to_France	0.2426	0.1182	0.2222	0.0551	0.4688	2147.164	0.1337	0.2634	
migrationRateSMEpi.Hubei_to_Germany	0.2953	0.1472	0.2666	0.0731	0.5969	2408.9937	0.1569	0.3206	
migrationRateSMEpi.Hubei_to_Italy	0.2281	0.1318	0.1992	0.0301	0.485	2492.7908	0.0956	0.2311	
migrationRateSMEpi.Hubei_to_OtherEuropean	0.2248	0.1287	0.1968	0.0341	0.4754	1637.8197	0.0907	0.2286	
migrationRateSMEpi.Hubei_to_Spain	0.2932	0.1426	0.2664	0.0727	0.5802	1703.3404	0.1477	0.3073	
migrationRateSMEpi.Italy_to_France	0.3878	0.2004	0.352	0.0798	0.7869	1926.7964	0.1721	0.4031	
migrationRateSMEpi.Italy_to_Germany	0.6939	0.4666	0.5784	0.0607	1.6254	297.5436	0.2208	0.6738	
migrationRateSMEpi.Italy_to_Hubei	0	0	0	0	0	1000	0	0	
migrationRateSMEpi.Italy_to_OtherEuropean	3.1747	1.63	2.8526	0.7641	6.4993	488.0818	1.5138	3.2064	
migrationRateSMEpi.Italy_to_Spain	0.3938	0.2223	0.3475	0.0587	0.8194	1119.4901	0.1603	0.4034	
migrationRateSMEpi.OtherEuropean_to_France	0.7598	0.4774	0.6512	0.0958	1.6828	1685.6299	0.2561	0.7415	
migrationRateSMEpi.OtherEuropean_to_Germany	1.2805	0.8728	1.077	0.1127	2.8632	604.5311	0.461	1.2444	
